Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000665362536275292,0.000429152319376647,0.0585734122760588,0,0,0,0.0385843346295589,4.77356774978713E-05,-1.33411467644044E-08,1.18868985582911E-07,3.16765609974547E-05,-6.12341578052794E-07,1.95374414009174E-05,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/base_link.STL,,GM23099-01_ASM_25_ASM-1/23099-C90_2-1;GM23099-01_ASM_25_ASM-1/23099-C80_5-1;GM23099-01_ASM_25_ASM-1/23099-A80-1;GM23099-01_ASM_25_ASM-1/23099-C88_8-1;GM23099-01_ASM_25_ASM-1/23099-C81_1-1;GM23099-01_ASM_25_ASM-1/23099-E11_AF0_ASM_2_ASM-1/23099-C83_1-1;GM23099-01_ASM_25_ASM-1/23099-E11_AF1_ASM_2_ASM-1/23099-C83_1-1;GM23099-01_ASM_25_ASM-1/23099-E12_AF0_ASM_5_ASM-1/23099-C83_1-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link11,0.00439408811139754,-0.00911765065399595,0.00044871006172668,0,0,0,0.00138305741020588,7.59113043365004E-08,2.30497822999331E-08,1.05687197853023E-10,5.246976242615E-08,1.35533885534063E-10,1.16505696809913E-07,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link11.STL,,GM23099-01_ASM_25_ASM-1/23099-E13_ASM_5_ASM-1/23099-C89_11-1,坐标系2,基准轴2,Joint16,revolute,0.0145000000000013,-0.019175845396938,0.032866829933102,-0.0872664625997253,0,0,base_link,0,0,1,3.14,3.14,-3.14,3.14,,,,,,,,
Link12,-0.0193457288064523,-0.0970462057174385,0.00664758776330233,0,0,0,0.0984470630272566,0.000585174590954754,-4.26494616303551E-06,1.17247059938109E-05,0.000248076456229318,-9.99315415835099E-06,0.000805891897441605,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link12.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link12.STL,,GM23099-01_ASM_25_ASM-1/23099-E13_ASM_5_ASM-1/23099-E08_ASM_3_ASM-1/23099-A97_4-1,坐标系3,基准轴3,Joint3,revolute,8.55267492552558E-05,-0.0225481366751174,0.00218716640100595,-1.5707963267949,0,-1.04719755119662,Link11,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link13,0.011202607163177,-0.0161886608049256,-0.00825005840401396,0,0,0,0.00563386947432946,6.49912296716302E-07,2.38322274804655E-07,-8.43114954825691E-13,6.9921432625115E-07,-3.81493429155989E-13,8.14920242380477E-07,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link13.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link13.STL,,GM23099-01_ASM_25_ASM-1/23099-E13_ASM_5_ASM-1/23099-E07_ASM_3_ASM-1/23099-A94_4-1,坐标系4,基准轴4,Joint2,revolute,0.0754452633218026,-0.0430611453900553,0.01845,0,0,0,Link12,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link14,0.00912335650691751,-0.0132872172631343,-0.00819758291292656,0,0,0,0.00648852431372067,4.01224481067621E-07,9.231707597789E-08,-4.70592158523467E-12,4.21613805872039E-07,-2.62778917769055E-12,4.37154836305582E-07,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link14.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link14.STL,,GM23099-01_ASM_25_ASM-1/23099-E13_ASM_5_ASM-1/23099-E06_ASM_2_ASM-1/23099-A93_3-1,坐标系5,基准轴5,Joint1,revolute,0.026080516434841,-0.0282252807189571,-5.23885481902089E-05,0,0,0,Link13,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link21,-1.99944541305619E-08,3.46676293505599E-08,0.00478412417325754,0,0,0,0.000175293148492888,3.20326613804737E-09,1.95339875476183E-15,-1.85926689618895E-15,2.99432681410188E-09,1.39840023510881E-15,9.33097487974611E-10,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link21.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link21.STL,,GM23099-01_ASM_25_ASM-1/23099-C82_1-1,坐标系6,基准轴6,Joint17,revolute,-0.003,-0.026,0.1465,-1.5708,0,-1.5708,base_link,0,0,1,3.14,3.14,-3.14,3.14,,,,,,,,
Link22,-0.00159268176425252,0.0178802121706692,9.36361533254715E-06,0,0,0,0.00353149930058254,5.02206916260674E-07,4.81072248366593E-08,8.72269899306731E-11,2.14660813704943E-07,2.05431535327336E-10,5.11195737471112E-07,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link22.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link22.STL,,GM23099-01_ASM_25_ASM-1/23099-E10_AF0_ASM_2_ASM-1/23099-E03_ASM_2_ASM-1/23099-A86_3-1,坐标系7,基准轴7,Joint6,revolute,0,0,0.0075729,3.1416,-1.5708,0,Link21,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link23,0.00173129166368025,0.0194041831510843,-0.00701961228435177,0,0,0,0.0033267012363065,5.01796570591849E-07,1.80444765827316E-08,-3.44143459501015E-10,1.81807323555466E-07,2.51342592421128E-09,4.84095845487014E-07,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link23.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link23.STL,,GM23099-01_ASM_25_ASM-1/23099-E10_AF0_ASM_2_ASM-1/23099-E02_ASM_2_ASM-1/23099-A85_3-1,坐标系8,基准轴8,Joint5,revolute,-0.00309877969012365,0.0355000017901757,0.00710000021640794,0,0,0,Link22,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link24,0.00212399088950623,0.014358809540157,-0.00685032342087634,0,0,0,0.00435670454057234,2.61711034670062E-07,6.86051419420172E-09,-7.34747393166894E-12,1.60348278042487E-07,-1.03333124450363E-11,2.35997672269181E-07,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link24.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link24.STL,,GM23099-01_ASM_25_ASM-1/23099-E10_AF0_ASM_2_ASM-1/23099-E01_ASM_2_ASM-1/23099-A83_4-1,坐标系9,基准轴9,Joint4,revolute,0.000531009916053093,0.0359999999999983,-0.000249999999993443,0,0,0,Link23,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link31,-0.000869431576225304,0.0209895419638196,-0.00499248846806704,0,0,0,0.00412900648242841,8.3373153381872E-07,2.58850827627914E-08,4.9831831930378E-11,2.52598947795254E-07,8.97414923978584E-11,8.50957770179142E-07,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link31.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_left/meshes/Link31.STL,,GM23099-01_ASM_25_ASM-1/23099-E11_AF0_ASM_2_ASM-1/23099-E04_ASM_2_ASM-1/23099-A89_3-1,坐标系10,基准轴10,Joint9,revolute,0.004,-0.011,0.1465,1.5708,0,0,base_link,0,0,1,3.14,3.14,-3.14,3.14,,,,,,,,
